batch,Iteration,SMILES,Ered 
initial,0,CN(C)CCN1CCN(C)c2cc3nsnc3cc21,-2.68 
initial,1,CCOc1cccc2nsnc12,-2.24 
initial,2,CC(C)C1Oc2cc3nsnc3cc2OC1C(C)C,-2.42 
initial,3,CCCc1c2c(c(C(C)CC)c3nsnc13)C1CCC2C1,-2.47 
initial,4,CCc1ccc2nsnc2c1OC,-2.22 
initial,5,CCCCc1ccc2nsnc2c1CC,-2.28 
initial,6,CN1CCNc2c1ccc1nsnc21,-2.41 
initial,7,CC1CCNc2c1c1c(c3nsnc23)CCO1,-2.53 
initial,8,CCC(C)c1ccc(C(C)C)c2nsnc12,-2.36 
initial,9,CCCCNc1cc(OCC)cc2nsnc12,-2.43 
sample,1,CN(C)CCc1c2c(cc3nsnc13)N(C)CCN2C,-2.66 
sample,2,CCNc1c2c(c(NC)c3nsnc13)N(C)CCN2C,-2.52 
sample,3,Cc1c2c(cc3nsnc13)N(C)CCN2CCN(C)C,-2.58 
sample,4,CCOCCc1c2c(cc3nsnc13)N(C)CCN2C,-2.53 
sample,5,CCOc1c2c(c(OC)c3nsnc13)N(C)CCN2C,-2.54 
sample,6,CN(C)CCc1c2c(cc3nsnc13)N(C)CN2C,-2.67 
sample,7,CCN1CN(CCN(C)C)c2cc3nsnc3cc21,-2.79 
sample,8,CCCN1CN(C)c2cc3nsnc3c(N(C)C)c21,-2.76 
sample,9,CCN1CN(C)c2c1cc1nsnc1c2N(C)C,-2.78 
sample,10,CCNc1c2c(cc3nsnc13)N(CC)CN2CC,-2.99 
sample,11,CCCN1CN(CC)c2c1cc1nsnc1c2NC,-2.69 
sample,12,CCCN1CN(CC)c2cc3nsnc3c(NC)c21,-2.74 
sample,13,CCCN1CN(C)c2c1cc1nsnc1c2NCC,-2.63 
sample,14,CCCCN1CN(C)c2c1cc1nsnc1c2NC,-2.76 
sample,15,CCCNc1c2c(cc3nsnc13)N(CC)CN2C,-2.80 
