Index,smiles,complexity,atoms,DelE_red(V),MW
0,Cc1c2c(cc3nsnc13)N(C)CCN2CCN(C)C,8,20,1.27,291.1517667
1,CCN1CCN(CCOC)c2c1cc1nsnc1c2C,7,20,1.27,292.1357823
2,CCNc1c2c(cc3nsnc13)N(C)CCN2C(C)C,6,20,1.24,291.1517667
3,CCCN1CCN(CC)c2cc3nsnc3c(NCC)c21,6,21,1.22,305.1674167
4,CCNc1c2c(cc3nsnc13)N(CC)CCN2C(C)C,6,21,1.2,305.1674167
5,CCCNc1c2c(cc3nsnc13)N(CC)CCN2C,6,20,1.39,291.1517667
6,CCNc1c2c(cc3nsnc13)N(C(C)CC)CCN2C,6,21,1.22,305.1674167
7,Cc1c2c(cc3nsnc13)N(C)CCN2CC(C)C,6,19,1.27,276.1408676
8,CCCNc1c2c(cc3nsnc13)N(C)CCN2CCC,6,21,1.28,305.1674167
9,CC(C)Nc1c2c(cc3nsnc13)N(C(C)C)CCN2C,6,21,1.24,305.1674167
10,CCN1CCN(C(C)C)c2cc3nsnc3c(C)c21,6,19,1.26,276.1408676
11,CNc1c2c(cc3nsnc13)N(C(C)C)CCN2C,6,19,1.22,277.1361166
12,CCC(C)N1CCN(C)c2cc3nsnc3c(NC)c21,6,20,1.18,291.1517667
13,CCNc1c2c(cc3nsnc13)N(C(C)C)CCN2C,6,20,1.23,291.1517667
14,CCCNc1c2c(cc3nsnc13)N(C)CCN2CC,6,20,1.14,291.1517667
15,CCCN1CCN(C)c2cc3nsnc3c(NC)c21,6,19,1.26,277.1361166
16,CC(C)CNc1c2c(cc3nsnc13)N(C)CCN2C,6,20,1.24,291.1517667
17,CC(C)N1c2cc3nsnc3cc2CC1C,3,16,1.29,233.0986685
18,CCCN1CCN(C(C)C)c2cc3nsnc3c(NC)c21,6,21,1.35,305.1674167
19,CCN1CCN(CC)c2c1cc1nsnc1c2NC,6,19,1.27,277.1361166
20,CC(C)Nc1c2c(cc3nsnc13)N(C)CCN2C(C)C,6,21,1.49,305.1674167
