sssr,clogp,mr,mw,tpsa,chi0n,chi1n,chi2n,chi3n,chi4n,chi0v,chi1v,chi2v,chi3v,chi4v,fracsp3,hall_kier_alpha,kappa1,kappa2,kappa3,labuteasa,number_aliphatic_rings,number_aromatic_rings,number_amide_bonds,number_atom_stereocenters,number_bridgehead_atoms,number_HBA,number_HBD,number_hetero_atoms,number_hetero_cycles,number_rings,number_rotatable_bonds,number_spiro,number_saturated_rings,number_heavy_atoms,number_nh_oh,number_n_o,number_valence_electrons,max_partial_charge,min_partial_charge,fr_C_O,fr_C_O_noCOO,fr_Al_OH,fr_Ar_OH,fr_methoxy,fr_oxime,fr_ester,fr_Al_COO,fr_Ar_COO,fr_COO,fr_COO2,fr_ketone,fr_ether,fr_phenol,fr_aldehyde,fr_quatN,fr_NH2,fr_NH1,fr_NH0,fr_Ar_N,fr_Ar_NH,fr_aniline,fr_Imine,fr_nitrile,fr_hdrzine,fr_hdrzone,fr_nitroso,fr_N_O,fr_nitro,fr_azo,fr_diazo,fr_azide,fr_amide,fr_priamide,fr_amidine,fr_guanido,fr_Nhpyrrole,fr_imide,fr_isocyan,fr_isothiocyan,fr_thiocyan,fr_halogen,fr_alkyl_halide,fr_sulfide,fr_SH,fr_C_S,fr_sulfone,fr_sulfonamd,fr_prisulfonamd,fr_barbitur,fr_urea,fr_term_acetylene,fr_imidazole,fr_furan,fr_thiophene,fr_thiazole,fr_oxazole,fr_pyridine,fr_piperdine,fr_piperzine,fr_morpholine,fr_lactam,fr_lactone,fr_tetrazole,fr_epoxide,fr_unbrch_alkane,fr_bicyclic,fr_benzene,fr_phos_acid,fr_phos_ester,fr_nitro_arom,fr_nitro_arom_nonortho,fr_dihydropyridine,fr_phenol_noOrthoHbond,fr_Al_OH_noTert,fr_benzodiazepine,fr_para_hydroxylation,fr_allylic_oxid,fr_aryl_methyl,fr_Ndealkylation1,fr_Ndealkylation2,fr_alkyl_carbamate,fr_ketone_Topliss,fr_ArN,fr_HOCCN
3,1.81752,86.18900000000004,291.151766672,35.50000000000001,12.55009366189947,6.943477682426879,5.713135157892751,3.990305545059357,2.7900500646977715,13.366590242827197,7.6737744257671014,6.241582845748407,4.532875395336432,3.3701229322291932,0.5714285714285714,-1.4,13.577000659817138,5.179477978555257,2.2260662566951,123.66811363368126,1,2,0,0,0,6,0,6,2,3,3,0,0,20,0,5,108,0.10942083912642107,-0.3710759257657785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0
3,2.29242,84.12800000000004,292.13578226,41.49,12.218235138049927,7.005867102172228,5.060772395444297,3.984172144398863,2.920064278336917,13.03473171897765,7.73616384551245,5.589220083299953,4.5267419946759375,3.500137145868341,0.5714285714285714,-1.4,13.577000659817138,5.535354273192112,2.1251241477990077,123.02182519298478,1,2,0,0,0,6,0,6,2,3,4,0,0,20,0,5,108,0.10942084685731264,-0.3828528262856045,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,4,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
3,2.7877000000000014,87.33070000000004,291.151766672,44.290000000000006,12.473123554402592,7.140154559299523,5.490283519383255,3.8552430445418713,2.8340567122521096,13.289620135330315,7.8704513026397445,6.018731207238911,4.397812894818945,3.368486033324768,0.5714285714285714,-1.56,13.424313785563015,5.08698914389221,1.984487211997528,123.45814214708591,1,2,0,0,0,6,1,6,2,3,3,0,0,20,1,5,108,0.12967043821787494,-0.3817300511750944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3,3.179400000000001,91.96970000000003,305.167416736,44.290000000000006,13.017093628772606,7.826710630079923,5.3483032015074645,4.029117695717667,3.1027739850366185,13.833590209700336,8.557007373420143,5.87675088936312,4.571687545994742,3.6372033061092783,0.6,-1.56,14.380319391846735,6.052915090283379,2.4137256062785166,129.82308426148253,1,2,0,0,0,6,1,6,2,3,5,0,0,21,1,5,114,0.12967027146297916,-0.3817301838089676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3,3.1778000000000013,91.94770000000004,305.167416736,44.290000000000006,13.180230335589139,7.716275511002951,5.648397402391673,4.100912001231877,3.0833012421968315,13.996726916516865,8.44657225434317,6.176845090247331,4.64348185150895,3.6177305632694896,0.6,-1.56,14.380319391846735,5.673993098045311,2.3108945108800896,129.82308426148253,1,2,0,0,0,6,1,6,2,3,4,0,0,21,1,5,114,0.12967044108814607,-0.3817300500279761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3,2.7893000000000012,87.35270000000006,291.151766672,44.290000000000006,12.30998684758606,7.250589678376494,5.179256896172633,3.864802750270764,2.778059826277422,13.126483428513787,7.980886421716717,5.7077045840282885,4.407372600547838,3.3124891473500786,0.5714285714285714,-1.56,13.424313785563015,5.438441930529301,2.0769056703600834,123.45814214708594,1,2,0,0,0,6,1,6,2,3,4,0,0,20,1,5,108,0.12967025971474708,-0.3814632625490811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
3,3.1778000000000013,91.94770000000004,305.167416736,44.290000000000006,13.180230335589139,7.678159361760308,5.6538051272092495,4.347468258737875,3.019492342374124,13.996726916516865,8.408456105100527,6.1822528150649045,4.890038109014948,3.5539216634467823,0.6,-1.56,14.380319391846735,5.673993098045311,2.3108945108800896,129.82308426148253,1,2,0,1,0,6,1,6,2,3,4,0,0,21,1,5,114,0.12967009536852947,-0.3817303237721007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3,2.911920000000001,82.47300000000004,276.14086764,32.260000000000005,11.97312355440259,6.795771554253241,5.762673470811565,3.7587095771372105,2.8690798502464103,12.789620135330315,7.526068297593461,6.291121158667222,4.3012794274142845,3.449152717777831,0.5714285714285714,-1.36,12.662581621944494,4.633086630205744,2.0569040520226896,117.90827996347788,1,2,0,0,0,5,0,5,2,3,2,0,0,19,0,4,102,0.109420834112837,-0.3710759365357776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
3,3.179400000000001,91.96970000000006,305.167416736,44.290000000000006,13.017093628772606,7.750589678376494,5.586635927905773,3.9816720437310265,2.9267527597952627,13.833590209700336,8.480886421716715,6.115083615761431,4.5242418940081,3.4611820808679203,0.6,-1.56,14.380319391846735,6.052915090283379,2.5235763144271233,129.82308426148253,1,2,0,0,0,6,1,6,2,3,5,0,0,21,1,5,114,0.12967043571422784,-0.38146312262394577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3,3.176200000000001,91.92570000000003,305.167416736,44.290000000000006,13.343367042405669,7.5228700604937675,6.258991539170003,3.927392186655429,2.9588269603287567,14.159863623333395,8.253166803833986,6.787439227025657,4.469962036932503,3.4932562814014148,0.6,-1.56,14.380319391846735,5.32957019769781,2.4137256062785166,129.82308426148253,1,2,0,0,0,6,1,6,2,3,3,0,0,21,1,5,114,0.1296780991325547,-0.379276741721869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
