batch,Iteration,SMILES,Ered 
initial,0,CCCC1Oc2cc3nsnc3c(C)c2OC1CC,-2.29 
initial,1,CCc1c(N(C)C)c(C)cc2nsnc12,-2.32 
initial,2,CNc1cc(OC)c(C(C)C)c2nsnc12,-2.49 
initial,3,COCCOc1ccc2nsnc2c1C,-2.26 
initial,4,CCN1CCN(CC)c2c1cc1nsnc1c2C,-2.54 
initial,5,Cc1c2c(cc3nsnc13)OC(C)C2C,-2.26 
initial,6,CCC(C)C1COc2c(cc3nsnc3c2OC)O1,-2.41 
initial,7,CCc1cc(C)c2nsnc2c1/[NH+]=C(\C)[O-],-2.19 
initial,8,CCc1c(CC(C)C)c(C)cc2nsnc12,-2.28 
initial,9,CCC1COc2c(cc3nsnc3c2NC)O1,-2.42 
sample,1,CCc1c2c(cc3nsnc13)N(C)CCN2CC,-2.57 
sample,2,CCN1CCN(C)c2cc3nsnc3c(C)c21,-2.61 
sample,3,CC(C)N1CCN(C)c2ccc3nsnc3c21,-2.53 
sample,4,CNc1c2c(cc3nsnc13)N(C)CCN2C,-2.61 
sample,5,CCN1CCN(C)c2c1cc1nsnc1c2NC,-2.62 
sample,6,CNc1c2c(c(C)c3nsnc13)N(C)CCN2C,-2.47 
sample,7,CN(C)CCN1CCN(C)c2cc3nsnc3cc21,-2.68 
sample,8,CCCOc1c2c(cc3nsnc13)N(C)CCN2C,-2.49 
sample,9,CCN1CN(CCN(C)C)c2cc3nsnc3cc21,-2.79 
sample,10,CN(C)CCc1c2c(cc3nsnc13)N(C)CN2C,-2.67 
sample,11,CCN1CCN(CCOC)c2cc3nsnc3cc21,-2.66 
sample,12,CCCN1CCN(CC)c2cc3nsnc3c(N(C)C)c21,-2.64 
sample,13,CCCCN1CN(CC)c2cc3nsnc3c(NC)c21,-2.77 
sample,14,CCCCN1CN(C)c2c1cc1nsnc1c2NCC,-2.85 
sample,15,CCCNc1c2c(cc3nsnc13)N(CCC)CN2C,-2.71 
sample,16,CCCCNc1c2c(cc3nsnc13)N(C)CN2CC,-2.74 
sample,17,CCN1CN(C)c2c1cc1nsnc1c2NCC(C)C,-2.76 
sample,18,CCCNc1c2c(cc3nsnc13)N(CC)CN2C,-2.80 
sample,19,CCCCN1CN(C)c2c1cc1nsnc1c2NC,-2.76 
sample,20,CCCCN1CCN(C)c2cc3nsnc3c(NC)c21,-2.63 
sample,21,CCCN1CN(C)c2c1cc1nsnc1c2NCC,-2.63 
sample,22,CCNc1c2c(cc3nsnc13)N(C)CN2CC(C)C,-2.75 
sample,23,CCCNc1c2c(cc3nsnc13)N(C(C)C)CN2C,-2.63 
sample,24,CCCCN1CN(CCOC)c2cc3nsnc3cc21,-2.62 
sample,25,COCCNc1c2c(cc3nsnc13)N(C)CN2C,-2.74 
sample,26,CNc1c2c(cc3nsnc13)N(CCOC)CN2C,-2.80 
sample,27,CNc1c2c(cc3nsnc13)N(C)CN2CCOC,-2.55 
sample,28,CNc1c2c(cc3nsnc13)N(CCOC)CCN2C,-2.60 
sample,29,CCCNc1c2c(cc3nsnc13)N(C)CN2C,-2.60 
sample,30,CCNc1c2c(cc3nsnc13)N(CC)CN2C(C)C,-2.73 
sample,31,CCCN1CN(C)c2c1cc1nsnc1c2NC(C)C,-2.63 
sample,32,CCOCCN1CN(CC)c2cc3nsnc3cc21,-2.79 
sample,33,CCCCOc1c2c(cc3nsnc13)N(CC)CN2C,-2.81 
sample,34,CCOCCN1CCN(C)c2cc3nsnc3c(C)c21,-2.44 
sample,35,CCCN1CN(C)c2cc3nsnc3c(N(C)C)c21,-2.76 
sample,36,CCCN1CN(CCOC)c2cc3nsnc3cc21,-2.83 
sample,37,COCCc1c2c(cc3nsnc13)N(C)CN2C,-2.69 
