batch,Iteration,SMILES,Ered 
initial,0,CCCN1CCN(C)c2cc3nsnc3c(/[NH+]=C(\C)[O-])c21,-2.46 
initial,1,CCCCN1CN(CCOC)c2cc3nsnc3cc21,-2.62 
initial,2,CC1COc2ccc3nsnc3c2O1,-2.27 
initial,3,CCN1CCN(CC)c2c1cc1nsnc1c2OC(C)C,-2.60 
initial,4,c1cc2nsnc2c2c1OCCN2,-2.33 
initial,5,CNc1cc2c(c3nsnc13)CC(C)N2C,-2.47 
initial,6,CCc1c2c(c(N(C)CCOC)c3nsnc13)C1CCC2C1,-2.48 
initial,7,CCc1c2c(cc3nsnc13)N(C)CCN2C(C)C,-2.56 
initial,8,CCN1CCN(CC(C)C)c2cc3nsnc3c(C)c21,-2.47 
initial,9,CC(C)COc1c2c(cc3nsnc13)OCCO2,-2.29 
sample,1,CCCN1CCN(C)c2c1cc1nsnc1c2N(C)CC,-2.53 
sample,2,CCCN1CCN(C(C)C)c2cc3nsnc3c(OC)c21,-2.43 
sample,3,CCCN1CCN(CC)c2c1cc1nsnc1c2N(C)C,-2.64 
sample,4,CCCN1CCN(CC)c2cc3nsnc3c(N(C)C)c21,-2.64 
sample,5,CC(C)CN1CCN(C)c2cc3nsnc3c(N(C)C)c21,-2.60 
sample,6,CCCOc1c2c(cc3nsnc13)N(CC)CCN2C,-2.51 
sample,7,CCN(C)c1c2c(cc3nsnc13)N(C(C)C)CCN2C,-2.69 
sample,8,CC(C)CN1CCN(C)c2c1cc1nsnc1c2N(C)C,-2.60 
sample,9,CC(C)N1CCN(C)c2c1cc1nsnc1c2N(C)C,-2.59 
sample,10,CCN1CN(CCN(C)C)c2cc3nsnc3cc21,-2.79 
sample,11,CN(C)CCc1c2c(cc3nsnc13)N(C)CN2C,-2.67 
sample,12,CCCN1CN(C)c2cc3nsnc3c(N(C)C)c21,-2.76 
sample,13,Cc1c2c(cc3nsnc13)N(C)CN2CCN(C)C,-2.64 
sample,14,CC(C)CN1CN(C(C)C)c2cc3nsnc3cc21,-2.82 
sample,15,CCCCN1CN(C(C)C)c2cc3nsnc3cc21,-2.72 
sample,16,CCN1CN(C)c2c1cc1nsnc1c2CC(C)C,-2.77 
sample,17,CCCN1CN(CC(C)C)c2cc3nsnc3cc21,-2.73 
sample,18,CCC(C)c1c2c(cc3nsnc13)N(C)CN2CC,-2.79 
sample,19,CCCN1CN(C(C)CC)c2cc3nsnc3cc21,-2.74 
sample,20,CCN1CN(CC(C)C)c2cc3nsnc3cc21,-2.71 
sample,21,CCC(C)c1c2c(cc3nsnc13)N(CC)CN2C,-2.68 
sample,22,CCN1CN(CC(C)C)c2c1cc1nsnc1c2C,-2.75 
sample,23,CCCN1CN(C(C)C)c2c1cc1nsnc1c2C,-2.61 
sample,24,CCCCN1CN(CCC)c2cc3nsnc3cc21,-2.77 
sample,25,CCCN1CN(C)c2cc3nsnc3c(CC(C)C)c21,-2.68 
sample,26,CCCCN1CN(CC)c2cc3nsnc3cc21,-2.74 
sample,27,CCCN1CN(C(C)C)c2cc3nsnc3cc21,-2.83 
sample,28,CCCN1CN(CCC)c2cc3nsnc3cc21,-2.81 
sample,29,CCCCN1CN(C)c2c1cc1nsnc1c2C,-2.66 
sample,30,CCN1CN(C)c2c1cc1nsnc1c2N(C)C,-2.78 
sample,31,CCCCN1CN(C)c2cc3nsnc3cc21,-2.74 
sample,32,CC(C)CN1CN(C)c2cc3nsnc3cc21,-2.80 
