filename,Ered,Ered_ag,SMILES,MPP_all(Angstrom),MPP_heavy(Angstrom)
1,1.27,-2.58,Cc1c2c(cc3nsnc13)N(C)CCN2CCN(C)C,0.908587,0.477902
2,1.27,-2.58,CCN1CCN(CCOC)c2c1cc1nsnc1c2C,0.799408,0.463461
3,1.24,-2.61,CCNc1c2c(cc3nsnc13)N(C)CCN2C(C)C,1.279319,0.873632
4,1.22,-2.63,CCCN1CCN(CC)c2cc3nsnc3c(NCC)c21,1.03948,0.676225
5,1.2,-2.65,CCNc1c2c(cc3nsnc13)N(CC)CCN2C(C)C,1.296932,0.896958
6,1.39,-2.46,CCCNc1c2c(cc3nsnc13)N(CC)CCN2C,0.983082,0.544936
7,1.22,-2.63,CCNc1c2c(cc3nsnc13)N(C(C)CC)CCN2C,1.002287,0.580181
8,1.27,-2.58,Cc1c2c(cc3nsnc13)N(C)CCN2CC(C)C,0.925147,0.516069
9,1.28,-2.57,CCCNc1c2c(cc3nsnc13)N(C)CCN2CCC,0.934237,0.585503
10,1.24,-2.61,CC(C)Nc1c2c(cc3nsnc13)N(C(C)C)CCN2C,1.115794,0.670749
11,1.26,-2.59,CCN1CCN(C(C)C)c2cc3nsnc3c(C)c21,0.97461,0.551504
12,1.22,-2.63,CNc1c2c(cc3nsnc13)N(C(C)C)CCN2C,1.017137,0.568729
13,1.18,-2.67,CCC(C)N1CCN(C)c2cc3nsnc3c(NC)c21,1.248587,0.873197
14,1.23,-2.62,CCNc1c2c(cc3nsnc13)N(C(C)C)CCN2C,0.921535,0.503082
15,1.14,-2.71,CCCNc1c2c(cc3nsnc13)N(C)CCN2CC,1.248681,0.894024
16,1.26,-2.59,CCCN1CCN(C)c2cc3nsnc3c(NC)c21,0.75043,0.387395
17,1.24,-2.61,CC(C)CNc1c2c(cc3nsnc13)N(C)CCN2C,0.953204,0.532247
18,1.29,-2.56,CC(C)N1c2cc3nsnc3cc2CC1C,0.955486,0.521798
19,1.35,-2.5,CCCN1CCN(C(C)C)c2cc3nsnc3c(NC)c21,1.367209,0.950457
20,1.27,-2.58,CCN1CCN(CC)c2c1cc1nsnc1c2NC,0.980802,0.603007
21,1.49,-2.36,CC(C)Nc1c2c(cc3nsnc13)N(C)CCN2C(C)C,1.31122,0.889911
22,1.3,-2.55,CCN1CCN(CC(C)C)c2cc3nsnc3c(NC)c21,1.064821,0.699496
23,1.08,-2.77,CCCNc1c2c(cc3nsnc13)N(C)CCN2C(C)C,0.975893,0.594788
24,1.19,-2.66,CCCN1CCN(C(C)C)c2c1cc1nsnc1c2NC,1.107026,0.74141
25,1.18,-2.67,CCN1CCN(C(C)C)c2cc3nsnc3c(NC)c21,1.240694,0.775948
26,1.35,-2.5,CCN1CCN(C)c2cc3nsnc3c(NCCOC)c21,1.067733,0.691561
27,1.36,-2.49,CCCCN1CCN(CC)c2cc3nsnc3c(NC)c21,1.014696,0.605138
28,1.38,-2.47,CCCN1CCN(C(C)C)c2c1cc1nsnc1c2CC,1.317673,0.897592
29,1.28,-2.57,CNc1c2c(cc3nsnc13)N(C)CCC2,0.580386,0.182538
30,1.37,-2.48,CCCN1CCN(C)c2cc3nsnc3c(NCC)c21,1.254518,0.87603
31,1.23,-2.62,CCNc1c2c(cc3nsnc13)N(CC)CCN2C,1.086843,0.667012
32,1.23,-2.62,CCCN1CCN(CC)c2c1cc1nsnc1c2C,1.059116,0.675143
33,1.24,-2.61,CCCNc1c2c(cc3nsnc13)N(C)CCN2C,1.060719,0.698786
34,1.21,-2.64,CCNc1c2c(cc3nsnc13)N(C)CCN2CC,1.090705,0.693777
35,1.16,-2.69,CCN(C)c1c2c(cc3nsnc13)N(C(C)C)CCN2C,1.045739,0.599065
36,1.18,-2.67,CCCCNc1c2c(cc3nsnc13)N(CC)CCN2C,1.337869,0.985679
37,1.22,-2.63,CCc1c2c(cc3nsnc13)N(CC)CCN2C(C)CC,1.289883,0.888989
38,1.25,-2.6,CCc1c2c(cc3nsnc13)N(CC)CCN2CC,1.166272,0.767182
39,1.31,-2.54,CCN1CCN(CC)c2c1cc1nsnc1c2C,1.066479,0.665476
40,1.17,-2.68,CCC(C)N1CCN(CC)c2cc3nsnc3c(NC)c21,1.23299,0.865972
41,1.34,-2.51,CCN1CCN(CC(C)C)c2c1cc1nsnc1c2NC,1.319503,0.98789
42,1.19,-2.66,CCCN1CCN(C)c2c1cc1nsnc1c2NC(C)C,1.018142,0.607129
43,1.24,-2.61,CCN1CCN(C)c2cc3nsnc3c(C)c21,0.989981,0.601364
44,1.23,-2.62,CCCN1CCN(C)c2c1cc1nsnc1c2NC,0.882719,0.490785
45,1.16,-2.69,COCCNc1c2c(cc3nsnc13)N(C)CCN2C,0.774576,0.364889
46,1.29,-2.56,CCc1c2c(cc3nsnc13)N(C)CCN2C(C)C,1.203786,0.775872
47,1.17,-2.68,CCCN1CCN(C(C)CC)c2c1cc1nsnc1c2C,1.242117,0.838859
48,1.16,-2.69,CCCCN1CCN(CC)c2c1cc1nsnc1c2CC,0.988016,0.584883
49,1.26,-2.59,CCCN1CCN(CC)c2c1cc1nsnc1c2CC,1.182605,0.767562
51,1.24,-2.61,CNc1c2c(cc3nsnc13)N(C)CCN2C,0.801069,0.400522
52,1.11,-2.74,CCC(C)N1CCN(C)c2c1cc1nsnc1c2NC,1.221452,0.736631
53,1.16,-2.69,CCCCN1CCN(C(C)C)c2c1cc1nsnc1c2C,1.076716,0.674749
54,1.3,-2.55,CCNc1c2c(cc3nsnc13)N(CC)CCN2CC,1.277099,0.879973
55,1.16,-2.69,CNc1c2c(cc3nsnc13)N(C)CCN2CCOC,1.454274,1.143218
56,1.05,-2.8,CCCCN1CCN(C(C)CC)c2cc3nsnc3cc21,0.972502,0.549931
57,1.3,-2.55,CCCN1CCN(CC)c2c1cc1nsnc1c2C(C)C,1.05388,0.645766
58,1.27,-2.58,CCCc1c2c(cc3nsnc13)N(CC)CCN2C(C)C,1.135331,0.718128
59,0.98,-2.87,CCN1CCN(C)c2c1cc1nsnc1c2NC(C)C,1.072924,0.656149
60,1.22,-2.63,CCCCN1CCN(C)c2cc3nsnc3c(NC)c21,0.75173,0.380964
61,1.41,-2.44,CCOCCN1CCN(C)c2cc3nsnc3c(C)c21,0.7658,0.362748
62,1.02,-2.83,CCN1CN(CCOC)c2c1cc1nsnc1c2C,1.012734,0.621176
63,1.26,-2.59,CCc1c2c(cc3nsnc13)N(C)CCN2C(C)CC,1.207192,0.770407
64,1.23,-2.62,CCNc1cc(N(C)CC)cc2nsnc12,0.688444,0.343939
65,1.08,-2.77,CCCOC1N(CC)c2cc3nsnc3cc2N1CC,0.949599,0.624179
66,1.23,-2.62,CCN1CCN(C)c2cc3nsnc3c(C(C)C)c21,1.188097,0.754173
67,1.3,-2.55,CCC(C)N1CCN(C)c2c1cc1nsnc1c2C,1.076291,0.635796
68,1.19,-2.66,CCCN1CCN(CC)c2cc3nsnc3c(NC)c21,1.358943,0.968764
69,1.17,-2.68,CCCN1CCN(CC)c2c1cc1nsnc1c2NCC,1.03854,0.663829
70,1.15,-2.7,CCCOC1N(C)c2cc3nsnc3cc2N1CC,1.103299,0.771796
71,1.1,-2.75,CCCOC1N(C)c2cc3nsnc3cc2N1C(C)C,1.060956,0.729929
72,1.2,-2.65,CCCN1CCN(C)c2cc3nsnc3c(C)c21,0.743866,0.347282
73,1.24,-2.61,CC(C)Nc1c2c(cc3nsnc13)N(C)CCN2C,1.004744,0.593095
74,1.35,-2.5,CNc1c2c(cc3nsnc13)N(C)CCN2CC(C)C,1.25754,0.916007
75,1.31,-2.54,CCCCN1CCN(CC)c2cc3nsnc3c(CC)c21,0.919785,0.515289
76,1.18,-2.67,CCCN1CCN(C(C)C)c2cc3nsnc3cc21,0.990081,0.592974
77,1.12,-2.73,CCCN1CCN(CC)c2c1cc1nsnc1c2NC,1.09603,0.707464
78,1.11,-2.74,CCOC1N(C)c2cc3nsnc3cc2N1C(C)C,1.066479,0.695737
79,1.11,-2.74,CCOC1N(C)c2cc3nsnc3cc2N1C(C)CC,1.072114,0.709997
80,1.13,-2.72,CCCCN1CCN(C(C)C)c2cc3nsnc3cc21,0.917254,0.486607
81,1.22,-2.63,CCC(C)N1CCN(C)c2cc3nsnc3c(C)c21,0.947558,0.560655
82,1.13,-2.72,CCCCN1CCN(C)c2cc3nsnc3c(C)c21,0.816936,0.451035
83,1.12,-2.73,CCCN1c2cc3nsnc3cc2N(C)C1OC(C)C,0.89579,0.559969
84,0.89,-2.96,CCN1c2cc3nsnc3cc2N(CC)C1OC,0.794544,0.470864
85,1.23,-2.62,CCN1CCN(C)c2c1cc1nsnc1c2NC,0.887267,0.468016
86,1.19,-2.66,CCCc1c2c(cc3nsnc13)N(C)CCN2C(C)CC,1.223171,0.820355
87,1.38,-2.47,CCCCN1CCN(C)c2cc3nsnc3c(CC)c21,0.943177,0.565523
88,1.15,-2.7,Cc1c2c(cc3nsnc13)N(C)CCN2C(C)C,0.950467,0.561304
89,1.26,-2.59,CCN1CCc2c1cc1nsnc1c2C,0.676999,0.2699
90,1.21,-2.64,CNc1c2c(cc3nsnc13)N(CC(C)C)CCN2C,0.973175,0.564363
91,1.22,-2.63,CCNc1c2c(cc3nsnc13)N(C)CCN2CCOC,1.24952,0.945953
92,1.29,-2.56,CCN1CCN(CC)c2c1c(C)c1nsnc1c2NC,0.869907,0.493298
93,1.19,-2.66,CCC(C)Nc1c2c(cc3nsnc13)N(C)CCN2C,1.14203,0.681137
94,1.19,-2.66,CCN1CC(C)c2c1cc1nsnc1c2C,0.857032,0.455633
95,1.27,-2.58,Cc1c2c(cc3nsnc13)N(C)C(C)CC2,0.778189,0.394206
96,1.24,-2.61,CCCN1CCN(C)c2c1cc1nsnc1c2C,1.013975,0.599893
97,1.38,-2.47,CCN1CCN(CC(C)C)c2cc3nsnc3c(C)c21,0.988138,0.601969
98,0.92,-2.93,CCCCN1CCN(C)c2cc3nsnc3c(CCC)c21,1.241551,0.937241
99,1.27,-2.58,CCc1c2c(cc3nsnc13)N(CC)CCO2,0.823785,0.417295
100,0.96,-2.89,CCN1c2cc3nsnc3cc2N(CC(C)C)C1OC,0.884613,0.515014
101,1.37,-2.48,CCC(C)Nc1c2c(cc3nsnc13)N(C)CCN2CC,1.1793,0.81194
102,1.12,-2.73,CCCOC1N(C)c2cc3nsnc3cc2N1CCC,1.09602,0.767928
103,1.24,-2.61,CCC(C)c1c2c(cc3nsnc13)N(CC)CCN2C,1.137756,0.684668
104,1.19,-2.66,CCN1CCN(CC(C)C)c2c1cc1nsnc1c2C,1.314116,0.930083
105,1.19,-2.66,CCCN1CCN(C(C)C)c2cc3nsnc3c(C)c21,1.043108,0.628766
106,1.14,-2.71,CCOC1N(CC)c2cc3nsnc3cc2N1C(C)C,1.148761,0.743427
107,0.84,-3.01,CCOC1N(C)c2cc3nsnc3c(C)c2N1CC,0.875999,0.543119
108,1.2,-2.65,CNc1c2c(cc3nsnc13)N(C)C(C)C2,0.752387,0.401971
109,1.32,-2.53,CCC(C)N1c2cc3nsnc3cc2CC1C,0.947715,0.520265
110,1.25,-2.6,CCCN1CCN(CCC)c2c1cc1nsnc1c2C,0.848285,0.455466
111,1.36,-2.49,CCCN1CCN(CC)c2c1c(C)c1nsnc1c2C,0.85321,0.450365
112,1.21,-2.64,COCCN1CCN(C)c2cc3nsnc3c(C)c21,1.404089,1.057713
113,1.21,-2.64,CNc1c2c(cc3nsnc13)N(C)CCN2C(C)C,0.974767,0.604476
114,1.25,-2.6,COc1c2c(cc3nsnc13)N(CC(C)C)CCN2C,0.994458,0.57733
115,0.96,-2.89,CCN1CCN(C)c2c1cc1nsnc1c2NCCOC,1.108595,0.816458
116,1.29,-2.56,CCN1CCc2c1cc1nsnc1c2NC,0.77084,0.395482
117,1.29,-2.56,Cc1c2c(cc3nsnc13)N(C(C)C)CCO2,0.819035,0.400826
118,1.28,-2.57,CCNc1c2c(cc3nsnc13)N(C)CCO2,0.609886,0.238124
119,1.21,-2.64,CCCN1CCN(CC)c2cc3nsnc3c(N(C)C)c21,0.973951,0.528006
120,1.26,-2.59,CCN1CCOc2c1cc1nsnc1c2C,0.71473,0.327987
121,1.26,-2.59,CCN1CCOc2c1cc1nsnc1c2NC,0.676187,0.328386
122,1.12,-2.73,CCCN1c2cc3nsnc3cc2N(C)C1OC,0.707764,0.408731
123,1.28,-2.57,CC(C)CN1c2cc3nsnc3cc2CC1C,0.852755,0.436565
124,1.23,-2.62,CCN1CCN(C)c2cc3nsnc3c(NC)c21,1.086659,0.68142
125,1.35,-2.5,COc1cc2nsnc2c2c1CCCN2C,0.650104,0.274451
126,1.27,-2.58,CC(C)CN1CCc2cc3nsnc3cc21,0.888925,0.459472
127,1.19,-2.66,CNc1c2c(cc3nsnc13)N(C)CC2C,0.823541,0.426187
128,1.06,-2.79,CCC(C)N1CN(C(C)CC)c2cc3nsnc3cc21,1.151248,0.734943
129,1.09,-2.76,Cc1c2c(cc3nsnc13)N(CC(C)C)CN2C(C)C,1.005044,0.585243
130,1.24,-2.61,CCCNc1c2c(cc3nsnc13)N(C(C)C)CCN2C,1.026529,0.581988
131,1.21,-2.64,CCN1CCN(CCOC)c2cc3nsnc3c(NC)c21,1.255889,0.825544
132,1.31,-2.54,CNc1c2c(cc3nsnc13)N(C)CC2,0.553883,0.190222
133,1.37,-2.48,CCOc1cc2nsnc2c2c1C(C)CCN2,0.796524,0.409805
134,1.36,-2.49,CCCOc1cc2nsnc2c2c1CCCN2,0.827757,0.475111
135,1.22,-2.63,CCCCN1CCN(C)c2c1cc1nsnc1c2C,0.857085,0.449191
136,1.14,-2.71,CCN1c2c(cc3nsnc3c2C)N(C)C1OC,1.178761,0.767545
137,1.13,-2.72,CCC(C)N1CN(CC)c2c1cc1nsnc1c2C,1.025516,0.616123
138,1.03,-2.82,CCNc1c2c(cc3nsnc13)N(C(C)CC)CN2C,1.084557,0.660447
139,1.22,-2.63,CCN1c2cc3nsnc3c(C)c2N(C)C1OC,0.967113,0.605061
140,1.01,-2.84,CCN1CN(CC)c2c1c(C)c1nsnc1c2C,0.689449,0.270907
141,1.54,-2.31,CCN(C)c1cc2nsnc2c2c1OCCN2,1.161679,0.688304
142,1.1,-2.75,CCOC1N(C)c2cc3nsnc3cc2N1CC(C)C,1.178099,0.794549
143,1.25,-2.6,CCCN1CCN(CC(C)C)c2cc3nsnc3c(C)c21,1.292214,0.929382
144,1.13,-2.72,CCCCN1CN(CCCC)c2cc3nsnc3cc21,1.004772,0.632677
145,1.36,-2.49,COc1cc2nsnc2c2c1CCCN2,0.537209,0.129768
146,1.15,-2.7,CCCN1CN(CC)c2c1c(C)c1nsnc1c2C,0.700255,0.271601
147,1.1,-2.75,CCCN1CN(CC)c2c1cc1nsnc1c2C,0.786449,0.40579
148,1.27,-2.58,CNc1c2c(cc3nsnc13)N(C)CCO2,0.537023,0.18958
149,1.38,-2.47,COc1cc2nsnc2c2c1C(C)CCN2,0.759222,0.372992
150,0.8,-3.05,COC1N(C)c2cc3nsnc3c(C)c2N1C(C)C,1.187151,0.789054
151,1.32,-2.53,CCCN1CCN(C)c2c1cc1nsnc1c2N(C)CC,1.285023,0.816534
152,1.29,-2.56,CC(C)Oc1cc(N(C)C)c2nsnc2c1,0.828895,0.44425
153,1.22,-2.63,CCCN1CN(C)c2c1cc1nsnc1c2NCC,0.859908,0.513317
154,1.67,-2.18,CCNc1c(C)c(OCC)cc2nsnc12,0.773612,0.449117
155,1.12,-2.73,CCN1CN(CC)c2cc3nsnc3cc21,0.572995,0.157389
156,1.35,-2.5,CCNc1c2c(cc3nsnc13)N(C)CCN2CC(C)C,1.266169,0.943508
157,1.08,-2.77,CCCN1CN(C(C)C)c2cc3nsnc3c(NC)c21,0.991242,0.635253
158,1.01,-2.84,CCN1CN(C(C)C)c2cc3nsnc3c(NC)c21,0.950545,0.568541
159,1.21,-2.64,CCCN1CCN(CC)c2c1cc1nsnc1c2N(C)C,1.094069,0.669154
160,1.36,-2.49,CNc1c(C)c(OC(C)C)cc2nsnc12,0.748657,0.373002
161,0.78,-3.07,CCCCN1CN(C(C)CC)c2cc3nsnc3cc21,1.141901,0.76065
162,1.11,-2.74,CC(C)OC1N(C)c2cc3nsnc3cc2N1C(C)C,1.048268,0.676925
163,1.29,-2.56,CCC(C)N1CN(CC)c2c1cc1nsnc1c2NC,1.101824,0.697354
164,1.15,-2.7,CCC(C)N1c2cc3nsnc3cc2N(CC)C1OC,0.958384,0.625112
165,1.61,-2.24,COc1cc2nsnc2c2c1OCCCC2,0.73348,0.384541
166,1.03,-2.82,CCCN1CN(CC)c2cc3nsnc3cc21,0.827172,0.446625
167,1.53,-2.32,CCOc1cc2nsnc2cc1OCC,0.56553,0.262457
168,1.22,-2.63,CCOc1cc(N(C)C)c2nsnc2c1,0.586403,0.225248
169,1.36,-2.49,CC1Cc2c(c3c(c4nsnc24)NCCC3)O1,0.649251,0.204276
170,1.36,-2.49,COc1cc2nsnc2c2c1OC(C)CC2,0.822807,0.423775
171,1,-2.85,CCCCN1CN(C)c2c1cc1nsnc1c2NCC,0.788336,0.421892
172,1.18,-2.67,CCNc1c2c(cc3nsnc13)N(C)CCN2C(C)CC,1.322587,0.958676
173,1.58,-2.27,CCNc1c(C)c(OC)cc2nsnc12,0.736884,0.429272
174,1.32,-2.53,Cc1cc2nsnc2c2c1C(C)CCN2,0.800305,0.398619
175,1.2,-2.65,CCC(C)N1CN(C)c2c1cc1nsnc1c2NC,1.152888,0.718838
176,1.32,-2.53,CCOc1cc2nsnc2c(NC)c1C,0.4901,0.092787
177,1.38,-2.47,CCC(C)N1CN(CC)c2cc3nsnc3c(NC)c21,0.936669,0.589272
178,1.14,-2.71,CCN1CN(CC(C)C)c2cc3nsnc3cc21,0.904452,0.495601
179,1.22,-2.63,CCCN1CN(C)c2c1cc1nsnc1c2NC(C)C,1.001947,0.598099
180,1.1,-2.75,CCCCN1c2cc3nsnc3cc2N(CC)C1OC,0.834541,0.481754
181,1.48,-2.37,Cc1cc2nsnc2c2c1CCC(C)N2,0.804973,0.417536
182,1.29,-2.56,COc1cc2nsnc2c2c1CC(C)CN2,0.556849,0.126924
183,1.05,-2.8,CCN1CN(C(C)C)c2cc3nsnc3cc21,0.930333,0.52034
184,1.37,-2.48,COc1cc2nsnc2cc1OCC(C)C,0.675768,0.293743
185,1.24,-2.61,CNc1c2c(cc3nsnc13)N(CC(C)C)CN2C,0.833727,0.456721
187,1.3,-2.55,CCOCCN1CCN(C)c2cc3nsnc3c(CC)c21,1.314777,1.133477
188,1.42,-2.43,CCCN1CCN(C(C)C)c2cc3nsnc3c(OC)c21,1.330504,0.917059
189,1.37,-2.48,CCNc1cc(OCC(C)C)cc2nsnc12,0.845199,0.43735
190,1.14,-2.71,CCOC1N(C)c2cc3nsnc3cc2N1CC,0.877251,0.562182
191,1.43,-2.42,CCNc1cc(OCC)cc2nsnc12,0.761299,0.40801
192,1.21,-2.64,CNc1c(N(C)C)c(OC)cc2nsnc12,0.85396,0.439457
193,1.36,-2.49,CCCOc1cc2nsnc2c(NC)c1C,0.518535,0.092877
194,1.03,-2.82,CC(C)CN1CN(C(C)C)c2cc3nsnc3cc21,0.964072,0.546005
195,1.16,-2.69,CCN1c2cc3nsnc3c(C)c2N(CC)C1OC,1.073691,0.709613
196,1.08,-2.77,CCc1c2c(cc3nsnc13)N(CC)CN2C(C)C,1.060878,0.619442
197,1.44,-2.41,CCC1Oc2c(cc3nsnc3c2N(C)C)OC1C,1.156639,0.733688
198,1.13,-2.72,CCCCN1CN(C(C)C)c2cc3nsnc3cc21,0.916357,0.526394
199,1.24,-2.61,CCN1CN(CC(C)C)c2c1cc1nsnc1c2NC,1.326713,0.998399
200,1.2,-2.65,CCc1c2c(cc3nsnc13)N(CC(C)C)CN2CC,1.033707,0.626734
201,1.52,-2.33,CCCCN1CCN(C)c2c1c(C)c1nsnc1c2NC,1.018484,0.680152
202,1.53,-2.32,CCN(CC)c1c2c(cc3nsnc13)OCC(C)O2,1.245884,0.758501
203,1.37,-2.48,C1CNc2c(c3c(c4nsnc24)CCO3)C1,0.578808,0.128806
204,1.27,-2.58,CCN1CCN(C)c2c1c(NC)c1nsnc1c2C,1.072024,0.674625
205,1.14,-2.71,CCCCN1CN(CC)c2c1cc1nsnc1c2C,0.926777,0.542328
206,1.21,-2.64,COC1N(C)c2c(cc3nsnc3c2C)N1C(C)C,0.976916,0.586054
207,1.28,-2.57,CCNc1c2c(c(C)c3nsnc13)N(CC)CCN2C,0.958824,0.543023
208,1.04,-2.81,CCCc1c2c(cc3nsnc13)N(CCC)CN2CC,1.091798,0.712795
209,1.17,-2.68,CCN1CN(C)c2c1c(C)c1nsnc1c2NC,0.770648,0.415584
210,1.14,-2.71,CCN1c2cc3nsnc3cc2N(C)C1OC(C)C,0.829748,0.444981
211,1.14,-2.71,CCc1c2c(cc3nsnc13)N(CC)C(OC)N2C,0.968862,0.570037
212,1.45,-2.4,CCOc1cc(NCC(C)C)c2nsnc2c1,0.927798,0.518727
213,1.36,-2.49,CCc1c2c(c(NC)c3nsnc13)N(C)CCN2CC,1.335036,0.850426
214,1.01,-2.84,CCCCN1CN(C(C)C)c2c1cc1nsnc1c2C,0.856939,0.442801
215,1.26,-2.59,CNc1c2c(c(C)c3nsnc13)N(C)CCN2C(C)C,1.109555,0.70641
216,1.14,-2.71,CCOC1N(C)c2cc3nsnc3c(NC)c2N1C,1.033657,0.690278
217,1.07,-2.78,COc1cc2nsnc2c(NC(C)C)c1C,0.843865,0.474256
218,1.34,-2.51,CNc1c(C(C)C)c(OC)cc2nsnc12,0.893509,0.489031
219,1.2,-2.65,CNc1c2c(c(C)c3nsnc13)N(C(C)C)CN2C,0.953868,0.554939
220,1.32,-2.53,CC1CCNc2c1c1c(c3nsnc23)CCO1,0.777448,0.350676
221,1.51,-2.34,CCNc1cc(OC)cc2nsnc12,0.640423,0.313938
222,1.14,-2.71,CCCc1c2c(cc3nsnc13)N(C(C)C)CN2CC,1.137059,0.719416
223,1.26,-2.59,COc1c2c(cc3nsnc13)N(C(C)C)CCN2C,0.994192,0.560281
224,1.26,-2.59,CCC(C)N1CCN(C)c2c1c(NC)c1nsnc1c2C,1.005935,0.629729
225,0.95,-2.9,Cc1c2c(cc3nsnc13)N(C(C)C)CN2C(C)C,1.00666,0.580198
226,1.44,-2.41,CCNc1c2c(cc3nsnc13)OCCC2,0.572336,0.15378
227,1.38,-2.47,CCCc1c(OC)cc2nsnc2c1NC,0.726882,0.410863
228,0.9,-2.95,CNc1c2c(cc3nsnc13)N(C)CN2CC(C)C,1.157144,0.810783
229,1,-2.85,CCc1c2c(cc3nsnc13)N(C(C)CC)CN2C,1.165684,0.697297
230,1.07,-2.78,CCc1c2c(c(C)c3nsnc13)N(CC)CN2CC,0.761216,0.342647
231,1.11,-2.74,CCc1c2c(cc3nsnc13)N(CC)CN2CC,0.941325,0.534629
232,1.45,-2.4,CCCNc1c2c(cc3nsnc13)OCCC2,0.724145,0.311691
233,1.13,-2.72,CCC(C)N1CN(CC)c2cc3nsnc3c(C)c21,0.951966,0.561207
