,SMILES,MPP(A),Ered_ag
0,Cc1c2c(cc3nsnc13)N(C)CCN2CCN(C)C,0.908587,-2.58
1,CCN1CCN(CCOC)c2c1cc1nsnc1c2C,0.799408,-2.58
2,CCNc1c2c(cc3nsnc13)N(C)CCN2C(C)C,1.279319,-2.6100000000000003
3,CCCN1CCN(CC)c2cc3nsnc3c(NCC)c21,1.03948,-2.63
4,CCNc1c2c(cc3nsnc13)N(CC)CCN2C(C)C,1.296932,-2.6500000000000004
5,CCCNc1c2c(cc3nsnc13)N(CC)CCN2C,0.983082,-2.46
6,CCNc1c2c(cc3nsnc13)N(C(C)CC)CCN2C,1.002287,-2.63
7,Cc1c2c(cc3nsnc13)N(C)CCN2CC(C)C,0.925147,-2.58
8,CCCNc1c2c(cc3nsnc13)N(C)CCN2CCC,0.934237,-2.5700000000000003
9,CC(C)Nc1c2c(cc3nsnc13)N(C(C)C)CCN2C,1.115794,-2.6100000000000003
10,CCN1CCN(C(C)C)c2cc3nsnc3c(C)c21,0.97461,-2.59
11,CNc1c2c(cc3nsnc13)N(C(C)C)CCN2C,1.017137,-2.63
12,CCC(C)N1CCN(C)c2cc3nsnc3c(NC)c21,1.248587,-2.67
13,CCNc1c2c(cc3nsnc13)N(C(C)C)CCN2C,0.921535,-2.62
14,CCCNc1c2c(cc3nsnc13)N(C)CCN2CC,1.248681,-2.71
15,CCCN1CCN(C)c2cc3nsnc3c(NC)c21,0.75043,-2.59
16,CC(C)CNc1c2c(cc3nsnc13)N(C)CCN2C,0.953204,-2.6100000000000003
17,CC(C)N1c2cc3nsnc3cc2CC1C,0.955486,-2.56
18,CCCN1CCN(C(C)C)c2cc3nsnc3c(NC)c21,1.367209,-2.5
19,CCN1CCN(CC)c2c1cc1nsnc1c2NC,0.980802,-2.58
20,CC(C)Nc1c2c(cc3nsnc13)N(C)CCN2C(C)C,1.31122,-2.3600000000000003
21,CCN1CCN(CC(C)C)c2cc3nsnc3c(NC)c21,1.064821,-2.55
22,CCCNc1c2c(cc3nsnc13)N(C)CCN2C(C)C,0.975893,-2.77
23,CCCN1CCN(C(C)C)c2c1cc1nsnc1c2NC,1.107026,-2.66
24,CCN1CCN(C(C)C)c2cc3nsnc3c(NC)c21,1.240694,-2.67
25,CCN1CCN(C)c2cc3nsnc3c(NCCOC)c21,1.067733,-2.5
26,CCCCN1CCN(CC)c2cc3nsnc3c(NC)c21,1.014696,-2.49
